"83(1,C11)","Hypoxia Ox66 3","< 73.2421875","< 14.6484375","< 2.44140625","1035"
"84(1,D11)","Hypoxia Mix 1","< 73.2421875","129.177729788213","0.806520093005478","1174"
"85(1,E11)","Hypoxia Mix 1","< 73.2421875","94.7013302891671","< 2.44140625","1204"
"86(1,F11)","Hypoxia Mix 1","< 73.2421875","< 14.6484375","< 2.44140625","1170"
"87(1,G11)","Hypoxia Mix 2","< 73.2421875","179.556130543486","< 2.44140625","981"
"88(1,H11)","Hypoxia Mix 2","< 73.2421875","< 14.6484375","< 2.44140625","1112"
"89(1,A12)","Hypoxia Mix 2","< 73.2421875","126.6052687046","< 2.44140625","1118"
"90(1,B12)","Hypoxia Mix 3","< 73.2421875","242.828709473902","0.02526321950359","1274"
"91(1,C12)","Hypoxia Mix 3","< 73.2421875","< 14.6484375","< 2.44140625","1131"
"92(1,D12)","Hypoxia Mix 3","< 73.2421875","< 14.6484375","< 2.44140625","1362"
"93(1,E12)","Intereference DEP ","< 73.2421875","< 14.6484375","< 2.44140625","1138"
"94(1,F12)","Intereference DEP ","< 73.2421875","< 14.6484375","< 2.44140625","1197"
"95(1,G12)","Interference Ox66","< 73.2421875","< 14.6484375","< 2.44140625","1330"
"96(1,H12)","Interference Ox66","< 73.2421875","< 14.6484375","< 2.44140625","1286"

"DataType:","Range"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","","","","1228"
"2(1,B1)","Background0","","","","1252"
"3(1,C1)","Standard1","","","","1072"
"4(1,D1)","Standard1","","","","1170"
"5(1,E1)","Standard2","","","","1081"
"6(1,F1)","Standard2","","","","1154"
"7(1,G1)","Standard3","","","","882"
"8(1,H1)","Standard3","","","","1088"
"9(1,A2)","Standard4","","","","1256"
"10(1,B2)","Standard4","","","","1058"
"11(1,C2)","Standard5","","","","1016"
"12(1,D2)","Standard5","","","","989"
"13(1,E2)","Standard6","","","","939"
"14(1,F2)","Standard6","","","","1009"
"15(1,G2)","Standard7","","","","1013"
"16(1,H2)","Standard7","","","","1057"
"17(1,A3)","Control1","","","","1211"
"18(1,B3)","Control1","","","","963"
"19(1,C3)","Control2","","","","924"
"20(1,D3)","Control2","","","","988"
"21(1,E3)","Normoxia Blank 1","","","","809"
"22(1,F3)","Normoxia Blank 1","","","","862"
"23(1,G3)","Normoxia Blank 1","","","","909"
"24(1,H3)","Normoxia Blank 2","","","","812"
"25(1,A4)","Normoxia Blank 2","","","","960"
"26(1,B4)","Normoxia Blank 2","","","","932"
"27(1,C4)","Normoxia Blank 3","","","","831"
"28(1,D4)","Normoxia Blank 3","","","","677"
"29(1,E4)","Normoxia Blank 3","","","","807"
"30(1,F4)","Normoxia DEP 1","","","","863"
"31(1,G4)","Normoxia DEP 1","","","","812"
"32(1,H4)","Normoxia DEP 1","","","","849"
"33(1,A5)","Normoxia DEP 2","","","","960"
"34(1,B5)","Normoxia DEP 2","","","","988"
"35(1,C5)","Normoxia DEP 2","","","","887"
"36(1,D5)","Normoxia DEP 3","","","","850"
"37(1,E5)","Normoxia DEP 3","","","","655"
"38(1,F5)","Normoxia DEP 3","","","","757"
"39(1,G5)","Normoxia Ox66 1","","","","1144"
"40(1,H5)","Normoxia Ox66 1","","","","974"
"41(1,A6)","Normoxia Ox66 1","","","","1256"
"42(1,B6)","Normoxia Ox66 2","","","","1137"
"43(1,C6)","Normoxia Ox66 2","","","","958"
"44(1,D6)","Normoxia Ox66 2","","","","1157"
"45(1,E6)","Normoxia Ox66 3","","","","867"
"46(1,F6)","Normoxia Ox66 3","","","","972"
"47(1,G6)","Normoxia Ox66 3","","","","769"
"48(1,H6)","Normoxia Mix 1","","","","1119"
"49(1,A7)","Normoxia Mix 1","","","","1144"
"50(1,B7)","Normoxia Mix 1","","","","1131"
"51(1,C7)","Normoxia Mix 2","","","","1068"
"52(1,D7)","Normoxia Mix 2","","","","1248"
"53(1,E7)","Normoxia Mix 2","","","","1229"
"54(1,F7)","Normoxia Mix 3","","","","1188"
"55(1,G7)","Normoxia Mix 3","","","","1094"
"56(1,H7)","Normoxia Mix 3","","","","1151"
"57(1,A8)","Hypoxia Blank 1","","","","1317"
"58(1,B8)","Hypoxia Blank 1","","","","852"
"59(1,C8)","Hypoxia Blank 1","","","","1050"
"60(1,D8)","Hypoxia Blank 2","","","","844"
"61(1,E8)","Hypoxia Blank 2","","","","807"
"62(1,F8)","Hypoxia Blank 2","","","","704"
"63(1,G8)","Hypoxia Blank 3","","","","581"
"64(1,H8)","Hypoxia Blank 3","","","","701"
"65(1,A9)","Hypoxia Blank 3","","","","1273"
"66(1,B9)","Hypoxia DEP 1","","","","1030"
"67(1,C9)","Hypoxia DEP 1","","","","1099"
"68(1,D9)","Hypoxia DEP 1","","","","844"
"69(1,E9)","Hypoxia DEP 2","","","","675"
"70(1,F9)","Hypoxia DEP 2","","","","642"
"71(1,G9)","Hypoxia DEP 2","","","","712"
"72(1,H9)","Hypoxia DEP 3","","","","725"
"73(1,A10)","Hypoxia DEP 3","","","","915"
"74(1,B10)","Hypoxia DEP 3","","","","967"
"75(1,C10)","Hypoxia Ox66 1","","","","1198"
"76(1,D10)","Hypoxia Ox66 1","","","","1089"
"77(1,E10)","Hypoxia Ox66 1","","","","1027"
"78(1,F10)","Hypoxia Ox66 2","","","","971"
"79(1,G10)","Hypoxia Ox66 2","","","","916"
"80(1,H10)","Hypoxia Ox66 2","","","","1192"
"81(1,A11)","Hypoxia Ox66 3","","","","1205"
"82(1,B11)","Hypoxia Ox66 3","","","","1156"
"83(1,C11)","Hypoxia Ox66 3","","","","1035"
"84(1,D11)","Hypoxia Mix 1","","","","1174"
"85(1,E11)","Hypoxia Mix 1","","","","1204"
"86(1,F11)","Hypoxia Mix 1","","","","1170"
"87(1,G11)","Hypoxia Mix 2","","","","981"
"88(1,H11)","Hypoxia Mix 2","","","","1112"
"89(1,A12)","Hypoxia Mix 2","","","","1118"
"90(1,B12)","Hypoxia Mix 3","","","","1274"
"91(1,C12)","Hypoxia Mix 3","","","","1131"
"92(1,D12)","Hypoxia Mix 3","","","","1362"
"93(1,E12)","Intereference DEP ","","","","1138"
"94(1,F12)","Intereference DEP ","","","","1197"
"95(1,G12)","Interference Ox66","","","","1330"
"96(1,H12)","Interference Ox66","","","","1286"

"DataType:","Avg Net MFI"
"Sample","IL-6","GRO/KC/CINC-1","TNFa"
"Control1","171.75","420","2377.5"
"Control2","1079.75","2039.5","7560"
"Standard1","5.5","12","67.25"
"Standard2","9.5","10","185.5"
"Standard3","61","126","846.5"
"Standard4","142.25","444.25","2439"
"Standard5","920","2017","7057.75"
"Standard6","4327.5","4811.5","12038"
"Standard7","12400","6985.25","10414.25"
"Normoxia Blank 1","2.33333333333333","41.6666666666667","12.5"
"Normoxia Blank 2","3.83333333333333","23.3333333333333","15.6666666666667"
"Normoxia Blank 3","0.833333333333333","25.8333333333333","65.1666666666667"
"Normoxia DEP 1","1.16666666666667","66.6666666666667","11.5"
"Normoxia DEP 2","1.16666666666667","43.5","21.3333333333333"
"Normoxia DEP 3","1.83333333333333","143","45.1666666666667"
"Normoxia Ox66 1","-2.5","-7","17.5"
"Normoxia Ox66 2","-1.16666666666667","-25.3333333333333","47.5"
"Normoxia Ox66 3","-0.833333333333333","23.3333333333333","20.1666666666667"
"Normoxia Mix 1","-0.5","7","31.5"
"Normoxia Mix 2","-0.5","8.5","17.8333333333333"
"Normoxia Mix 3","-3.83333333333333","-1.83333333333333","19.1666666666667"
"Hypoxia Blank 1","-0.666666666666667","-27.1666666666667","13.8333333333333"
"Hypoxia Blank 2","0.166666666666667","-3.33333333333333","11.5"
"Hypoxia Blank 3","2.5","21","55"
"Hypoxia DEP 1","-1.83333333333333","21.1666666666667","12.8333333333333"
"Hypoxia DEP 2","-0.5","57","20.8333333333333"
"Hypoxia DEP 3","-1","34","23.8333333333333"
"Hypoxia Ox66 1","-3.16666666666667","-17.6666666666667","24.5"
"Hypoxia Ox66 2","-4.83333333333333","-50.3333333333333","27.8333333333333"
"Hypoxia Ox66 3","-2.5","-22.1666666666667","30.1666666666667"
"Hypoxia Mix 1","-3.16666666666667","10.5","27.1666666666667"
"Hypoxia Mix 2","-2.83333333333333","6.33333333333333","16.5"
"Hypoxia Mix 3","-2.16666666666667","-0.666666666666667","19.1666666666667"
"Intereference DEP ","0","-17.5","2.75"
"Interference Ox66","-5.5","-59.5","-10"

"DataType:","Avg Result"
"Sample","IL-6","GRO/KC/CINC-1","TNFa"
"Control1","4929.74448045915","881.133311856748","159.975743099752"
"Control2","23500.6315380241","4167.3904765924","678.697168520394"
"Standard1","92.4430039674797","N/A","2.56399259526206"
"Standard2","279.52912193286","N/A","9.86778922619308"
"Standard3","1966.65718855363","384.62791022424","53.3362246630938"
"Standard4","4186.55595378256","919.640423818133","164.459169592224"
"Standard5","20533.0965879853","4120.40209672388","610.483305595537"
"Standard6","76055.77431337","19186.7299504834","N/A"
"Standard7","300016.84738468","53212.0604404869","N/A"
"Normoxia Blank 1","< 73.2421875","217.820629543112","< 2.44140625"
"Normoxia Blank 2","N/A","N/A","N/A"
"Normoxia Blank 3","N/A","167.093421138548","N/A"
"Normoxia DEP 1","N/A","271.040803512655","< 2.44140625"
"Normoxia DEP 2","N/A","211.485841411271","< 2.44140625"
"Normoxia DEP 3","< 73.2421875","430.292477917937","N/A"
"Normoxia Ox66 1","< 73.2421875","N/A","< 2.44140625"
"Normoxia Ox66 2","< 73.2421875","< 14.6484375","N/A"
"Normoxia Ox66 3","< 73.2421875","N/A","N/A"
"Normoxia Mix 1","< 73.2421875","N/A","0.466491626669008"
"Normoxia Mix 2","< 73.2421875","N/A","< 2.44140625"
"Normoxia Mix 3","< 73.2421875","< 14.6484375","N/A"
"Hypoxia Blank 1","< 73.2421875","< 14.6484375","N/A"
"Hypoxia Blank 2","< 73.2421875","N/A","< 2.44140625"
"Hypoxia Blank 3","N/A","N/A","N/A"
"Hypoxia DEP 1","< 73.2421875","N/A","N/A"
"Hypoxia DEP 2","< 73.2421875","240.166939031526","N/A"
"Hypoxia DEP 3","< 73.2421875","N/A","N/A"
"Hypoxia Ox66 1","< 73.2421875","< 14.6484375","N/A"
"Hypoxia Ox66 2","< 73.2421875","< 14.6484375","N/A"
"Hypoxia Ox66 3","< 73.2421875","< 14.6484375","N/A"
"Hypoxia Mix 1","< 73.2421875","N/A","N/A"
"Hypoxia Mix 2","< 73.2421875","N/A","< 2.44140625"
"Hypoxia Mix 3","< 73.2421875","N/A","N/A"
"Intereference DEP ","< 73.2421875","< 14.6484375","< 2.44140625"
"Interference Ox66","< 73.2421875","< 14.6484375","< 2.44140625"

"DataType:","Avg Range"
"Sample","IL-6","GRO/KC/CINC-1","TNFa"
"Control1","","",""
"Control2","","",""
"Standard1","","",""
"Standard2","","",""
"Standard3","","",""
"Standard4","","",""
"Standard5","","",""
"Standard6","","",""
"Standard7","","",""
"Normoxia Blank 1","","",""
"Normoxia Blank 2","","",""
"Normoxia Blank 3","","",""
"Normoxia DEP 1","","",""
"Normoxia DEP 2","","",""
"Normoxia DEP 3","","",""
"Normoxia Ox66 1","","",""
"Normoxia Ox66 2","","",""
"Normoxia Ox66 3","","",""
"Normoxia Mix 1","","",""
"Normoxia Mix 2","","",""
"Normoxia Mix 3","","",""
"Hypoxia Blank 1","","",""
"Hypoxia Blank 2","","",""
"Hypoxia Blank 3","","",""
"Hypoxia DEP 1","","",""
"Hypoxia DEP 2","","",""
"Hypoxia DEP 3","","",""
"Hypoxia Ox66 1","","",""
"Hypoxia Ox66 2","","",""
"Hypoxia Ox66 3","","",""
"Hypoxia Mix 1","","",""
"Hypoxia Mix 2","","",""
"Hypoxia Mix 3","","",""
"Intereference DEP ","","",""
"Interference Ox66","","",""

"DataType:","Mean"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","36.46","216.65","44.2","1228"
"2(1,B1)","Background0","39.54","279.96","53.34","1252"
"3(1,C1)","Standard1","45.72","346.82","131.28","1072"
"4(1,D1)","Standard1","46.52","266.63","138.14","1170"
"5(1,E1)","Standard2","59.89","353.3","333.28","1081"
"6(1,F1)","Standard2","46.97","196.89","286.07","1154"
"7(1,G1)","Standard3","152.65","613.24","1620.48","882"
"8(1,H1)","Standard3","75.92","275.02","641.65","1088"
"9(1,A2)","Standard4","223.26","842.06","3467.4","1256"
"10(1,B2)","Standard4","172.51","728.7","2617.9","1058"
"11(1,C2)","Standard5","1003.93","2804.9","7558.44","1016"
"12(1,D2)","Standard5","1248.43","2978.92","8817.54","989"
"13(1,E2)","Standard6","5519.77","6481.16","14165","939"
"14(1,F2)","Standard6","3944.7","4816.46","11385.19","1009"
"15(1,G2)","Standard7","12710.15","7445.53","11504.47","1013"
"16(1,H2)","Standard7","12638.82","7522.99","10035.59","1057"
"17(1,A3)","Control1","336.82","768.36","3040.52","1211"
"18(1,B3)","Control1","236.34","656.13","2631.45","963"
"19(1,C3)","Control2","1053.52","2369.06","8029.43","924"
"20(1,D3)","Control2","1328.23","2604.55","8055.98","988"
"21(1,E3)","Normoxia Blank 1","58.04","884.81","227.18","809"
"22(1,F3)","Normoxia Blank 1","54.27","308.66","199.21","862"
"23(1,G3)","Normoxia Blank 1","67.86","388.79","182","909"
"24(1,H3)","Normoxia Blank 2","41.43","281.58","56.95","812"
"25(1,A4)","Normoxia Blank 2","37.73","244.84","54.63","960"
"26(1,B4)","Normoxia Blank 2","609.45","453.9","89.34","932"
"27(1,C4)","Normoxia Blank 3","45.48","280.4","56.63","831"
"28(1,D4)","Normoxia Blank 3","34.38","299.27","287.61","677"
"29(1,E4)","Normoxia Blank 3","37.26","276.66","75.8","807"
"30(1,F4)","Normoxia DEP 1","36.22","380.77","64.02","863"
"31(1,G4)","Normoxia DEP 1","50.75","475.12","107.47","812"
"32(1,H4)","Normoxia DEP 1","36.07","285.06","148.73","849"
"33(1,A5)","Normoxia DEP 2","34.7","780.23","184.94","960"
"34(1,B5)","Normoxia DEP 2","70.03","298.99","104.97","988"
"35(1,C5)","Normoxia DEP 2","55.47","492.75","518.33","887"
"36(1,D5)","Normoxia DEP 3","42.34","500.18","80.01","850"
"37(1,E5)","Normoxia DEP 3","44.36","446.63","229.57","655"
"38(1,F5)","Normoxia DEP 3","39.92","416.56","75.04","757"
"39(1,G5)","Normoxia Ox66 1","28.71","195.84","62.5","1144"
"40(1,H5)","Normoxia Ox66 1","35.13","196.27","64.56","974"
"41(1,A6)","Normoxia Ox66 1","31.95","231.22","69.4","1256"
"42(1,B6)","Normoxia Ox66 2","33.02","169.5","174.95","1137"
"43(1,C6)","Normoxia Ox66 2","47.98","273.02","83.93","958"
"44(1,D6)","Normoxia Ox66 2","33.06","169.69","79.98","1157"
"45(1,E6)","Normoxia Ox66 3","42.29","335.04","91.45","867"
"46(1,F6)","Normoxia Ox66 3","35.43","210.14","67.61","972"
"47(1,G6)","Normoxia Ox66 3","42.04","378.7","85.93","769"
"48(1,H6)","Normoxia Mix 1","52.34","466.2","121.65","1119"
"49(1,A7)","Normoxia Mix 1","33.99","224","77.45","1144"
"50(1,B7)","Normoxia Mix 1","40.45","396.01","92.52","1131"
"51(1,C7)","Normoxia Mix 2","51.12","395.83","73.32","1068"
"52(1,D7)","Normoxia Mix 2","31.81","219.65","72.22","1248"
"53(1,E7)","Normoxia Mix 2","33.38","315.22","77.49","1229"
"54(1,F7)","Normoxia Mix 3","29.86","206.74","79.2","1188"
"55(1,G7)","Normoxia Mix 3","29.08","212.66","67.15","1094"
"56(1,H7)","Normoxia Mix 3","31.35","238.66","57.89","1151"
"57(1,A8)","Hypoxia Blank 1","43.04","202.82","81.89","1317"
"58(1,B8)","Hypoxia Blank 1","40.18","234","95.52","852"
"59(1,C8)","Hypoxia Blank 1","46.24","222.04","69.95","1050"
"60(1,D8)","Hypoxia Blank 2","40.93","208.5","53.22","844"
"61(1,E8)","Hypoxia Blank 2","37.72","323.11","101.73","807"
"62(1,F8)","Hypoxia Blank 2","33.43","284.36","60.29","704"
"63(1,G8)","Hypoxia Blank 3","44.11","327.26","187.75","581"
"64(1,H8)","Hypoxia Blank 3","134.75","295.19","93.88","701"
"65(1,A9)","Hypoxia Blank 3","41.73","243.95","79.1","1273"
"66(1,B9)","Hypoxia DEP 1","31.68","389.1","44.3","1030"
"67(1,C9)","Hypoxia DEP 1","33.3","251.4","80.39","1099"
"68(1,D9)","Hypoxia DEP 1","34.67","410.55","64.8","844"
"69(1,E9)","Hypoxia DEP 2","36.42","320.82","92.33","675"
"70(1,F9)","Hypoxia DEP 2","40.18","261.96","93.91","642"
"71(1,G9)","Hypoxia DEP 2","33.27","382.53","57.09","712"
"72(1,H9)","Hypoxia DEP 3","46.26","335.44","113.23","725"
"73(1,A10)","Hypoxia DEP 3","34.82","369.3","226.52","915"
"74(1,B10)","Hypoxia DEP 3","33.88","273.91","58.6","967"
"75(1,C10)","Hypoxia Ox66 1","33.23","207.72","66.26","1198"
"76(1,D10)","Hypoxia Ox66 1","30.13","194.5","68.21","1089"
"77(1,E10)","Hypoxia Ox66 1","31.87","181.05","84.66","1027"
"78(1,F10)","Hypoxia Ox66 2","26.77","161.36","82.59","971"
"79(1,G10)","Hypoxia Ox66 2","32.51","299.98","69.79","916"
"80(1,H10)","Hypoxia Ox66 2","29.56","156.49","69.2","1192"
"81(1,A11)","Hypoxia Ox66 3","29.78","174.34","98.46","1205"
"82(1,B11)","Hypoxia Ox66 3","30.98","199.71","79.54","1156"
"83(1,C11)","Hypoxia Ox66 3","42.69","291.08","139.39","1035"
"84(1,D11)","Hypoxia Mix 1","32.45","259.04","82.27","1174"
"85(1,E11)","Hypoxia Mix 1","31.86","264.3","67.3","1204"
"86(1,F11)","Hypoxia Mix 1","31.65","209.78","67.5","1170"
"87(1,G11)","Hypoxia Mix 2","34.42","287.66","63.09","981"
"88(1,H11)","Hypoxia Mix 2","29.88","199.29","56.14","1112"
"89(1,A12)","Hypoxia Mix 2","33.2","260.07","75.81","1118"
"90(1,B12)","Hypoxia Mix 3","37.24","265.16","66.19","1274"
"91(1,C12)","Hypoxia Mix 3","29.21","204.7","56.93","1131"
"92(1,D12)","Hypoxia Mix 3","38.37","180.79","62.25","1362"
"93(1,E12)","Intereference DEP ","41.37","252.31","63.25","1138"
"94(1,F12)","Intereference DEP ","33.59","273.74","43.23","1197"
"95(1,G12)","Interference Ox66","29.09","143.48","36.03","1330"
"96(1,H12)","Interference Ox66","28.45","136.08","29.71","1286"

"DataType:","%CV"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","67.01","86.94","192.48","1228"
"2(1,B1)","Background0","56.31","71.89","99.79","1252"
"3(1,C1)","Standard1","103.94","324.3","154.67","1072"
"4(1,D1)","Standard1","71.06","103.15","110.36","1170"
"5(1,E1)","Standard2","89.57","89.66","109.55","1081"
"6(1,F1)","Standard2","59.09","72.5","99.32","1154"
"7(1,G1)","Standard3","86.94","130.28","98.62","882"
"8(1,H1)","Standard3","42.72","60.98","62.03","1088"
"9(1,A2)","Standard4","53.33","67.43","64.45","1256"
"10(1,B2)","Standard4","45.68","108.87","58.79","1058"
"11(1,C2)","Standard5","48.37","137.32","63.69","1016"
"12(1,D2)","Standard5","66.46","113.8","60.18","989"
"13(1,E2)","Standard6","70.44","52.29","44.33","939"
"14(1,F2)","Standard6","45.96","63.9","31.77","1009"
"15(1,G2)","Standard7","31.52","36.33","30.78","1013"
"16(1,H2)","Standard7","45.74","97.97","35.86","1057"
"17(1,A3)","Control1","334","82.96","65.94","1211"
"18(1,B3)","Control1","45.87","45.21","58.79","963"
"19(1,C3)","Control2","48.41","58.78","39.17","924"
"20(1,D3)","Control2","44.82","52.23","40.11","988"
"21(1,E3)","Normoxia Blank 1","223.63","1043.17","611.46","809"
"22(1,F3)","Normoxia Blank 1","283.47","121.15","999.58","862"
"23(1,G3)","Normoxia Blank 1","627.95","246.8","677.72","909"
"24(1,H3)","Normoxia Blank 2","82.86","101.56","133.6","812"
"25(1,A4)","Normoxia Blank 2","60.66","196.07","111.43","960"
"26(1,B4)","Normoxia Blank 2","1549.7","112.81","99.87","932"
"27(1,C4)","Normoxia Blank 3","109.3","114.3","148.83","831"
"28(1,D4)","Normoxia Blank 3","52.86","183.18","104.49","677"
"29(1,E4)","Normoxia Blank 3","81.95","117.05","145.88","807"
"30(1,F4)","Normoxia DEP 1","57.59","107.22","160.01","863"
"31(1,G4)","Normoxia DEP 1","83.27","190.14","388.58","812"
"32(1,H4)","Normoxia DEP 1","84.44","123.92","1158.62","849"
"33(1,A5)","Normoxia DEP 2","60.32","1068.61","1174.63","960"
"34(1,B5)","Normoxia DEP 2","217.39","132.23","241.22","988"
"35(1,C5)","Normoxia DEP 2","113.16","239.1","1364.41","887"
"36(1,D5)","Normoxia DEP 3","83.8","131.54","93.37","850"
"37(1,E5)","Normoxia DEP 3","127.97","161.96","286.48","655"
"38(1,F5)","Normoxia DEP 3","57.31","72.21","89.25","757"
"39(1,G5)","Normoxia Ox66 1","31.34","60.91","79.78","1144"
"40(1,H5)","Normoxia Ox66 1","69.51","47.4","82.83","974"
"41(1,A6)","Normoxia Ox66 1","44.15","106.38","76.74","1256"
"42(1,B6)","Normoxia Ox66 2","42.98","51.79","110.35","1137"
"43(1,C6)","Normoxia Ox66 2","135.35","98.31","143.74","958"
"44(1,D6)","Normoxia Ox66 2","70.47","45.21","165.4","1157"
"45(1,E6)","Normoxia Ox66 3","90.69","81.05","140.62","867"
"46(1,F6)","Normoxia Ox66 3","121.57","65.79","102.03","972"
"47(1,G6)","Normoxia Ox66 3","131.21","181.53","127.92","769"
"48(1,H6)","Normoxia Mix 1","217.17","219","242.45","1119"
"49(1,A7)","Normoxia Mix 1","53.74","94.04","85.12","1144"
"50(1,B7)","Normoxia Mix 1","56.94","280.39","86.56","1131"
"51(1,C7)","Normoxia Mix 2","139.04","290.19","143.17","1068"
"52(1,D7)","Normoxia Mix 2","56.64","90.17","345.63","1248"
"53(1,E7)","Normoxia Mix 2","39.67","214.5","170.2","1229"
"54(1,F7)","Normoxia Mix 3","46.46","33.97","164.44","1188"
"55(1,G7)","Normoxia Mix 3","30.2","69.24","72.69","1094"
"56(1,H7)","Normoxia Mix 3","43.28","119.53","78.02","1151"
"57(1,A8)","Hypoxia Blank 1","89.83","128.32","196.33","1317"
"58(1,B8)","Hypoxia Blank 1","143.58","92.37","191.77","852"
"59(1,C8)","Hypoxia Blank 1","278.76","110.95","134.42","1050"
"60(1,D8)","Hypoxia Blank 2","119.99","126.85","82.1","844"
"61(1,E8)","Hypoxia Blank 2","53.24","122.15","537.23","807"
"62(1,F8)","Hypoxia Blank 2","47.5","139.69","122.45","704"
"63(1,G8)","Hypoxia Blank 3","58.08","140.68","69.92","581"
"64(1,H8)","Hypoxia Blank 3","1176.96","64.06","127.46","701"
"65(1,A9)","Hypoxia Blank 3","89.21","182.09","144.7","1273"
"66(1,B9)","Hypoxia DEP 1","52.83","368.74","73.91","1030"
"67(1,C9)","Hypoxia DEP 1","44.92","192.36","100.73","1099"
"68(1,D9)","Hypoxia DEP 1","50.11","383.09","148.16","844"
"69(1,E9)","Hypoxia DEP 2","67.1","88.98","62.73","675"
"70(1,F9)","Hypoxia DEP 2","133.53","81.19","233.05","642"
"71(1,G9)","Hypoxia DEP 2","39.19","98.14","88.52","712"
"72(1,H9)","Hypoxia DEP 3","251.99","99.11","86.08","725"
"73(1,A10)","Hypoxia DEP 3","112.96","219.5","1229.51","915"
"74(1,B10)","Hypoxia DEP 3","43.33","111.45","79.23","967"
"75(1,C10)","Hypoxia Ox66 1","81.44","38.65","70.52","1198"
"76(1,D10)","Hypoxia Ox66 1","33.42","43.32","90.38","1089"
"77(1,E10)","Hypoxia Ox66 1","82.07","59.05","141.28","1027"
"78(1,F10)","Hypoxia Ox66 2","33.35","54.06","78.71","971"
"79(1,G10)","Hypoxia Ox66 2","62.38","329.76","91.49","916"
"80(1,H10)","Hypoxia Ox66 2","39.83","54.54","56.62","1192"
"81(1,A11)","Hypoxia Ox66 3","33.57","49.08","53.23","1205"
"82(1,B11)","Hypoxia Ox66 3","29.87","50.5","297.56","1156"
"83(1,C11)","Hypoxia Ox66 3","185.33","205.04","955.24","1035"
"84(1,D11)","Hypoxia Mix 1","46.43","170.96","75.6","1174"
"85(1,E11)","Hypoxia Mix 1","42.17","222.66","72.13","1204"
"86(1,F11)","Hypoxia Mix 1","99.83","36.28","70.22","1170"
"87(1,G11)","Hypoxia Mix 2","58.07","113.75","68.76","981"
"88(1,H11)","Hypoxia Mix 2","41.4","132.36","88.81","1112"
"89(1,A12)","Hypoxia Mix 2","48.2","134.17","148.67","1118"
"90(1,B12)","Hypoxia Mix 3","39.79","41.98","78.66","1274"
"91(1,C12)","Hypoxia Mix 3","31.69","63.03","66.45","1131"
"92(1,D12)","Hypoxia Mix 3","523.05","110.51","57.83","1362"
"93(1,E12)","Intereference DEP ","78.39","182.53","182.03","1138"
"94(1,F12)","Intereference DEP ","49.99","317.03","172.48","1197"
"95(1,G12)","Interference Ox66","46.57","38.09","196.98","1330"
"96(1,H12)","Interference Ox66","53.94","43.93","89.6","1286"

"DataType:","Peak"
"Location","Sample","IL-6","GRO/KC/CINC-1","TNFa","Total Events"
"1(1,A1)","Background0","32","143","28","1228"
"2(1,B1)","Background0","28","155","28","1252"
"3(1,C1)","Standard1","28","176","58","1072"
"4(1,D1)","Standard1","28","199","99","1170"
"5(1,E1)","Standard2","32","169","177","1081"
"6(1,F1)","Standard2","32","111","149","1154"
"7(1,G1)","Standard3","62","355","1347","882"
"8(1,H1)","Standard3","58","254","576","1088"
"9(1,A2)","Standard4","149","838","1666","1256"
"10(1,B2)","Standard4","132","400","1741","1058"
"11(1,C2)","Standard5","705","2045","5017","1016"
"12(1,D2)","Standard5","872","1668","10838","989"
"13(1,E2)","Standard6","5687","4440","13935","939"
"14(1,F2)","Standard6","4450","3782","10469","1009"
"15(1,G2)","Standard7","12304","6682","11378","1013"
"16(1,H2)","Standard7","11872","6941","10039","1057"
"17(1,A3)","Control1","192","653","2721","1211"
"18(1,B3)","Control1","199","470","1963","963"
"19(1,C3)","Control2","1022","2413","7262","924"
"20(1,D3)","Control2","1255","2511","7542","988"
"21(1,E3)","Normoxia Blank 1","28","169","38","809"
"22(1,F3)","Normoxia Blank 1","32","313","28","862"
"23(1,G3)","Normoxia Blank 1","28","184","28","909"
"24(1,H3)","Normoxia Blank 2","28","170","28","812"
"25(1,A4)","Normoxia Blank 2","28","176","32","960"
"26(1,B4)","Normoxia Blank 2","28","244","43","932"
"27(1,C4)","Normoxia Blank 3","32","177","36","831"
"28(1,D4)","Normoxia Blank 3","28","226","176","677"
"29(1,E4)","Normoxia Blank 3","28","234","53","807"
"30(1,F4)","Normoxia DEP 1","24","225","38","863"
"31(1,G4)","Normoxia DEP 1","24","243","63","812"
"32(1,H4)","Normoxia DEP 1","28","192","36","849"
"33(1,A5)","Normoxia DEP 2","28","235","57","960"
"34(1,B5)","Normoxia DEP 2","32","234","45","988"
"35(1,C5)","Normoxia DEP 2","28","191","38","887"
"36(1,D5)","Normoxia DEP 3","28","288","36","850"
"37(1,E5)","Normoxia DEP 3","28","225","126","655"
"38(1,F5)","Normoxia DEP 3","32","369","36","757"
"39(1,G5)","Normoxia Ox66 1","28","168","41","1144"
"40(1,H5)","Normoxia Ox66 1","32","143","57","974"
"41(1,A6)","Normoxia Ox66 1","28","208","43","1256"
"42(1,B6)","Normoxia Ox66 2","28","143","132","1137"
"43(1,C6)","Normoxia Ox66 2","28","254","28","958"
"44(1,D6)","Normoxia Ox66 2","28","143","36","1157"
"45(1,E6)","Normoxia Ox66 3","28","433","41","867"
