"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","10/16/2019","9:50 PM"

"SN","MAGPX17165724"
"Batch","Human CYK SVG"
"Version","1"
"Operator",""
"ComputerName","ENV18022701X"
"Country Code","409"
"ProtocolName","Human Cytokine Chemokine AD"
"ProtocolVersion","5"
"ProtocolDescription",""
"ProtocolDevelopingCompany","Miliilpore"
"SampleWash","Off"
"SampleVolume","100 uL"
"BatchStartTime","10/16/2019 9:52:19 PM"
"BatchStopTime","10/16/2019 11:02:33 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolAnalysis","Type","Quan","Mode","FitOfAllStandards"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 10/15/2019 15:47:30"
"Last VER Verification","Passed 10/15/2019 15:48:32"
"Last Fluidics Test","Passed 10/15/2019 15:49:52"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B62703","11/17/2019","10/15/2019 3:47:30 PM","26.4","26.4","26.4","26.4","252","284","353","353","0.00702","0.00697","0.00407","0.11954","Pass","MAGPX17165724"


"AssayLotInfo:"
"KitName","LotNumber","ExpirationDate","Manufacturer"
"Human CYK and CHK","8062-13K","02/01/2021","Millipore"
"Reagent","LotName","LotNumber","ExpirationDate","Manufacturer"
"Standard1","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard2","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard3","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard4","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard5","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Standard6","Human CYK-CHK Std","8062-13K","02/01/2021","Millipore"
"Control1","CYK and CHK","HCY-113","02/01/2021","Millipore"
"Control2","CYK and CHK","HCY-213","02/01/2021","Millipore"


"Samples","35","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"60(1,D8)","Hypoxia Control 2","253.010053271102","416.144733980885","< 3.2","1238"
"61(1,E8)","Hypoxia Control 2","259.126581541564","425.746228263016","7.118486284789","1195"
"62(1,F8)","Hypoxia Control 2","266.866283539855","441.275974961866","< 3.2","1238"
"63(1,G8)","Hypoxia Control 3","254.343342368953","431.960733240411","2.97521161811748","1459"
"64(1,H8)","Hypoxia Control 3","248.589938028313","405.57394991371","7.118486284789","1479"
"65(1,A9)","Hypoxia Control 3","254.464159486224","425.290090853376","7.118486284789","1383"
"66(1,B9)","Hypoxia DEP 1","233.963750907598","429.262194432272","9.51468666718666","1337"
"67(1,C9)","Hypoxia DEP 1","227.893426640742","401.581863788067","7.118486284789","1437"
"68(1,D9)","Hypoxia DEP 1","220.069037143802","386.337336840491","9.51468666718666","1414"
"69(1,E9)","Hypoxia DEP 2","240.374826433368","443.071114519706","7.118486284789","1356"
"70(1,F9)","Hypoxia DEP 2","237.912327050168","419.506633078059","11.3840117635753","1364"
"71(1,G9)","Hypoxia DEP 2","229.869527849002","424.26418336243","9.51468666718666","1574"
"72(1,H9)","Hypoxia DEP 3","215.011084541627","405.506222669402","< 3.2","1350"
"73(1,A10)","Hypoxia DEP 3","214.571108297056","397.305104095463","2.97521161811748","1615"
"74(1,B10)","Hypoxia DEP 3","222.19605119643","398.924743534421","7.118486284789","1405"
"75(1,C10)","Hypoxia Ox66 1","247.782334460465","519.551820488062","7.118486284789","1321"
"76(1,D10)","Hypoxia Ox66 1","261.070979591934","531.239192891462","< 3.2","1030"
"77(1,E10)","Hypoxia Ox66 1","260.8948886506","543.317125871183","7.118486284789","1417"
"78(1,F10)","Hypoxia Ox66 2","250.257838131094","538.610639222368","2.97521161811748","1319"
"79(1,G10)","Hypoxia Ox66 2","260.306952485944","554.113448606604","8.41031933323436","1421"
"80(1,H10)","Hypoxia Ox66 2","251.791046524435","524.050753274953","9.51468666718666","1338"
"81(1,A11)","Hypoxia Ox66 3","236.144813050219","467.371568809147","2.97521161811748","1561"
"82(1,B11)","Hypoxia Ox66 3","243.063492114831","479.513803299413","7.118486284789","1414"
"83(1,C11)","Hypoxia Ox66 3","233.963750907598","463.918735388623","2.97521161811748","1375"
"84(1,D11)","Hypoxia Mix 1","265.661005522512","531.531373451984","12.968811111326","1325"
"85(1,E11)","Hypoxia Mix 1","247.096638391561","505.658015108696","7.118486284789","1197"
"86(1,F11)","Hypoxia Mix 1","252.279448205438","530.606338928574","9.51468666718666","1245"
"87(1,G11)","Hypoxia Mix 2","213.68800091738","456.918218446672","12.968811111326","1431"
"88(1,H11)","Hypoxia Mix 2","209.886549424358","432.693218438778","9.51468666718666","1641"
"89(1,A12)","Hypoxia Mix 2","220.780673003055","458.520436278108","7.118486284789","1509"
"90(1,B12)","Hypoxia Mix 3","198.933632890759","397.70989721326","9.51468666718666","1320"
"91(1,C12)","Hypoxia Mix 3","190.040942017397","378.921832454702","< 3.2","1314"
"92(1,D12)","Hypoxia Mix 3","196.835828426541","388.642929069103","12.968811111326","1537"
"93(1,E12)","DEP Interference ","7.87566688937195","< 3.2","< 3.2","1439"
"94(1,F12)","DEP Interference ","< 3.2","< 3.2","< 3.2","1408"
"95(1,G12)","Ox66 Interference","< 3.2","< 3.2","< 3.2","1390"
"96(1,H12)","Ox66 Interference","7.87566688937195","< 3.2","< 3.2","1647"

"DataType:","Range"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","","","","1570"
"2(1,B1)","Background0","","","","1573"
"3(1,C1)","Standard 1","","","","1577"
"4(1,D1)","Standard 1","","","","1416"
"5(1,E1)","Standard2","","","","1614"
"6(1,F1)","Standard2","","","","1377"
"7(1,G1)","Standard3","","","","1592"
"8(1,H1)","Standard3","","","","1727"
"9(1,A2)","Standard4","","","","1479"
"10(1,B2)","Standard4","","","","1489"
"11(1,C2)","Standard5","","","","1235"
"12(1,D2)","Standard5","","","","1147"
"13(1,E2)","Standard6","","","","1209"
"14(1,F2)","Standard6","","","","1211"
"17(1,A3)","Control1","","","","1503"
"18(1,B3)","Control1","","","","1276"
"19(1,C3)","Control2","","","","1390"
"20(1,D3)","Control2","","","","1435"
"21(1,E3)","Normoxia Control 1","","","","1471"
"22(1,F3)","Normoxia Control 1","","","","1214"
"23(1,G3)","Normoxia Control 1","","","","1464"
"24(1,H3)","Normoxia Control 2","","","","1541"
"25(1,A4)","Normoxia Control 2","","","","1486"
"26(1,B4)","Normoxia Control 2","","","","1364"
"27(1,C4)","Normoxia Control 3","","","","1276"
"28(1,D4)","Normoxia Control 3","","","","1119"
"29(1,E4)","Normoxia Control 3","","","","1489"
"30(1,F4)","Normoxia DEP 1","","","","1129"
"31(1,G4)","Normoxia DEP 1","","","","1390"
"32(1,H4)","Normoxia DEP 1","","","","1264"
"33(1,A5)","Normoxia DEP 2","","","","1336"
"34(1,B5)","Normoxia DEP 2","","","","1407"
"35(1,C5)","Normoxia DEP 2","","","","1473"
"36(1,D5)","Normoxia DEP 3","","","","1223"
"37(1,E5)","Normoxia DEP 3","","","","1465"
"38(1,F5)","Normoxia DEP 3","","","","1207"
"39(1,G5)","Normoxia Ox66 1","","","","1355"
"40(1,H5)","Normoxia Ox66 1","","","","1298"
"41(1,A6)","Normoxia Ox66 1","","","","1575"
"42(1,B6)","Normoxia Ox66 2","","","","1407"
"43(1,C6)","Normoxia Ox66 2","","","","1413"
"44(1,D6)","Normoxia Ox66 2","","","","1222"
"45(1,E6)","Normoxia Ox66 3","","","","1259"
"46(1,F6)","Normoxia Ox66 3","","","","1362"
"47(1,G6)","Normoxia Ox66 3","","","","1579"
"48(1,H6)","Normoxia Mix 1","","","","1347"
"49(1,A7)","Normoxia Mix 1","","","","1367"
"50(1,B7)","Normoxia Mix 1","","","","1204"
"51(1,C7)","Normoxia Mix 2","","","","1363"
"52(1,D7)","Normoxia Mix 2","","","","1010"
"53(1,E7)","Normoxia Mix 2","","","","1331"
"54(1,F7)","Normoxia Mix 3","","","","1115"
"55(1,G7)","Normoxia Mix 3","","","","1243"
"56(1,H7)","Normoxia Mix 3","","","","1543"
"57(1,A8)","Hypoxia Control 1","","","","1333"
"58(1,B8)","Hypoxia Control 1","","","","1484"
"59(1,C8)","Hypoxia Control 1","","","","1266"
"60(1,D8)","Hypoxia Control 2","","","","1238"
"61(1,E8)","Hypoxia Control 2","","","","1195"
"62(1,F8)","Hypoxia Control 2","","","","1238"
"63(1,G8)","Hypoxia Control 3","","","","1459"
"64(1,H8)","Hypoxia Control 3","","","","1479"
"65(1,A9)","Hypoxia Control 3","","","","1383"
"66(1,B9)","Hypoxia DEP 1","","","","1337"
"67(1,C9)","Hypoxia DEP 1","","","","1437"
"68(1,D9)","Hypoxia DEP 1","","","","1414"
"69(1,E9)","Hypoxia DEP 2","","","","1356"
"70(1,F9)","Hypoxia DEP 2","","","","1364"
"71(1,G9)","Hypoxia DEP 2","","","","1574"
"72(1,H9)","Hypoxia DEP 3","","","","1350"
"73(1,A10)","Hypoxia DEP 3","","","","1615"
"74(1,B10)","Hypoxia DEP 3","","","","1405"
"75(1,C10)","Hypoxia Ox66 1","","","","1321"
"76(1,D10)","Hypoxia Ox66 1","","","","1030"
"77(1,E10)","Hypoxia Ox66 1","","","","1417"
"78(1,F10)","Hypoxia Ox66 2","","","","1319"
"79(1,G10)","Hypoxia Ox66 2","","","","1421"
"80(1,H10)","Hypoxia Ox66 2","","","","1338"
"81(1,A11)","Hypoxia Ox66 3","","","","1561"
"82(1,B11)","Hypoxia Ox66 3","","","","1414"
"83(1,C11)","Hypoxia Ox66 3","","","","1375"
"84(1,D11)","Hypoxia Mix 1","","","","1325"
"85(1,E11)","Hypoxia Mix 1","","","","1197"
"86(1,F11)","Hypoxia Mix 1","","","","1245"
"87(1,G11)","Hypoxia Mix 2","","","","1431"
"88(1,H11)","Hypoxia Mix 2","","","","1641"
"89(1,A12)","Hypoxia Mix 2","","","","1509"
"90(1,B12)","Hypoxia Mix 3","","","","1320"
"91(1,C12)","Hypoxia Mix 3","","","","1314"
"92(1,D12)","Hypoxia Mix 3","","","","1537"
"93(1,E12)","DEP Interference ","","","","1439"
"94(1,F12)","DEP Interference ","","","","1408"
"95(1,G12)","Ox66 Interference","","","","1390"
"96(1,H12)","Ox66 Interference","","","","1647"

"DataType:","Avg Net MFI"
"Sample","IL-6","IL-8","TNFa"
"Control1","2759","2812.75","1338.5"
"Control2","14214","11746.75","6712.5"
"Standard 1","-0.25","57.5","2.5"
"Standard2","2","277.75","9.5"
"Standard3","57.25","1423","155.5"
"Standard4","5218.25","9392.5","3292.5"
"Standard5","28803","27251.75","15479"
"Standard6","48678.5","35570","38334.75"
"Normoxia Control 1","1607.83333333333","13116.1666666667","4.83333333333333"
"Normoxia Control 2","1575.66666666667","12722.8333333333","4.83333333333333"
"Normoxia Control 3","1261.66666666667","11777.3333333333","4"
"Normoxia DEP 1","1213.33333333333","12305.5","5.16666666666667"
"Normoxia DEP 2","1211","12188.1666666667","4.16666666666667"
"Normoxia DEP 3","1228.83333333333","12784","6.16666666666667"
"Normoxia Ox66 1","1638.83333333333","15756.8333333333","4.16666666666667"
"Normoxia Ox66 2","1539.83333333333","14264.1666666667","3.16666666666667"
"Normoxia Ox66 3","1686.66666666667","15858.8333333333","5"
"Normoxia Mix 1","1347","15143.8333333333","5.83333333333333"
"Normoxia Mix 2","1088.83333333333","13003","4.16666666666667"
"Normoxia Mix 3","1308.16666666667","14824.1666666667","5.5"
"Hypoxia Control 1","954","9580.5","1.5"
"Hypoxia Control 2","1010.16666666667","9426.16666666667","1.83333333333333"
"Hypoxia Control 3","949.666666666667","9277.33333333333","3.16666666666667"
"Hypoxia DEP 1","755.333333333333","8940.66666666667","4.16666666666667"
"Hypoxia DEP 2","820.166666666667","9453","4.5"
"Hypoxia DEP 3","683.666666666667","8828.16666666667","2.5"
"Hypoxia Ox66 1","984.333333333333","11627.5","2.83333333333333"
"Hypoxia Ox66 2","963.5","11781.8333333333","3.66666666666667"
"Hypoxia Ox66 3","832.833333333333","10347.1666666667","2.83333333333333"
"Hypoxia Mix 1","971.666666666667","11446.5","4.83333333333333"
"Hypoxia Mix 2","666.833333333333","9897.33333333333","4.83333333333333"
"Hypoxia Mix 3","540.666666666667","8557.33333333333","4.16666666666667"
"DEP Interference ","-0.5","6.75","0.5"
"Ox66 Interference","-0.5","1.5","0"

"DataType:","Avg Result"
"Sample","IL-6","IL-8","TNFa"
"Control1","415.394665581832","138.038402723","252.266934822905"
"Control2","1001.32472651178","537.164534950052","775.358177156927"
"Standard 1","N/A","3.20719331278333","2.97521161811748"
"Standard2","17.2261026945987","16.9340129553381","16.763298697995"
"Standard3","71.2611203637565","74.9245847159681","76.2798031854912"
"Standard4","568.458484193741","426.156866008489","451.62557375312"
"Standard5","1814.41615276659","1853.11761146678","1780.37033876089"
"Standard6","> 10000","N/A","12081.4667800412"
"Normoxia Control 1","321.855642090231","605.887143254943","N/A"
"Normoxia Control 2","318.901605417959","585.730199844447","10.1377950326495"
"Normoxia Control 3","287.699866557478","538.684135502359","7.43260468005782"
"Normoxia DEP 1","282.570158860955","564.763839718166","10.6660614818998"
"Normoxia DEP 2","282.286594539747","558.974854540504","8.54032811105111"
"Normoxia DEP 3","284.234342595574","588.830839885487","12.3789330575307"
"Normoxia Ox66 1","324.796982952944","750.026468140899","8.71595320638744"
"Normoxia Ox66 2","315.51684097645","666.742751562726","5.15503663447387"
"Normoxia Ox66 3","329.088226545038","756.158191468236","10.4111631572134"
"Normoxia Mix 1","296.542217234031","715.064180284377","11.8174362966129"
"Normoxia Mix 2","268.812996681086","600.002974500718","8.54032811105111"
"Normoxia Mix 3","292.570833949869","697.137089065238","11.2891698473627"
"Hypoxia Control 1","252.998042972046","434.840414169781","N/A"
"Hypoxia Control 2","259.66763945084","427.722312401922","N/A"
"Hypoxia Control 3","252.465813294497","420.941591335832","5.73739472923183"
"Hypoxia DEP 1","227.308738230714","405.727131686943","8.71595320638744"
"Hypoxia DEP 2","236.052227110846","428.947310320065","9.33906157185033"
"Hypoxia DEP 3","217.259414678371","400.578690099762","N/A"
"Hypoxia Ox66 1","256.582734234333","531.369379750236","N/A"
"Hypoxia Ox66 2","254.118612380491","538.924947034642","6.9667392061795"
"Hypoxia Ox66 3","237.724018690883","470.268035832394","4.35630317367465"
"Hypoxia Mix 1","255.012364039837","522.598575829751","9.86732802110055"
"Hypoxia Mix 2","214.785074448264","449.37729105452","9.86732802110055"
"Hypoxia Mix 3","195.270134444899","388.424886245688","N/A"
"DEP Interference ","N/A","< 3.2","< 3.2"
"Ox66 Interference","N/A","< 3.2","< 3.2"

"DataType:","Avg Range"
"Sample","IL-6","IL-8","TNFa"
"Control1","","",""
"Control2","","",""
"Standard 1","","",""
"Standard2","","",""
"Standard3","","",""
"Standard4","","",""
"Standard5","","",""
"Standard6","","",""
"Normoxia Control 1","","",""
"Normoxia Control 2","","",""
"Normoxia Control 3","","",""
"Normoxia DEP 1","","",""
"Normoxia DEP 2","","",""
"Normoxia DEP 3","","",""
"Normoxia Ox66 1","","",""
"Normoxia Ox66 2","","",""
"Normoxia Ox66 3","","",""
"Normoxia Mix 1","","",""
"Normoxia Mix 2","","",""
"Normoxia Mix 3","","",""
"Hypoxia Control 1","","",""
"Hypoxia Control 2","","",""
"Hypoxia Control 3","","",""
"Hypoxia DEP 1","","",""
"Hypoxia DEP 2","","",""
"Hypoxia DEP 3","","",""
"Hypoxia Ox66 1","","",""
"Hypoxia Ox66 2","","",""
"Hypoxia Ox66 3","","",""
"Hypoxia Mix 1","","",""
"Hypoxia Mix 2","","",""
"Hypoxia Mix 3","","",""
"DEP Interference ","","",""
"Ox66 Interference","","",""

"DataType:","Mean"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","16.39","17.61","19.91","1570"
"2(1,B1)","Background0","96.74","35.85","28.25","1573"
"3(1,C1)","Standard 1","16.68","80.77","21.94","1577"
"4(1,D1)","Standard 1","15.61","73.95","20.95","1416"
"5(1,E1)","Standard2","18.31","282.64","28.41","1614"
"6(1,F1)","Standard2","18.75","338.41","32.32","1377"
"7(1,G1)","Standard3","81.29","1485.13","186.63","1592"
"8(1,H1)","Standard3","78.03","1557.31","193.66","1727"
"9(1,A2)","Standard4","5649.03","10131.58","3675.8","1479"
"10(1,B2)","Standard4","5064.85","9274.43","3289.84","1489"
"11(1,C2)","Standard5","27516.97","27393.1","15483.65","1235"
"12(1,D2)","Standard5","30049.36","26702.86","15310.64","1147"
"13(1,E2)","Standard6","47174.76","35402.24","38198.75","1209"
"14(1,F2)","Standard6","45995.8","33543.37","35334.85","1211"
"17(1,A3)","Control1","3069.14","2977.04","1572.67","1503"
"18(1,B3)","Control1","2932.52","3156.25","1324.01","1276"
"19(1,C3)","Control2","13851.21","11308.57","6842.94","1390"
"20(1,D3)","Control2","14209.98","11328.44","6554.4","1435"
"21(1,E3)","Normoxia Control 1","1726.12","12708.66","42.03","1471"
"22(1,F3)","Normoxia Control 1","1802.35","13731.54","58.98","1214"
"23(1,G3)","Normoxia Control 1","1846.62","13364.19","28.05","1464"
"24(1,H3)","Normoxia Control 2","1592.95","12594.7","24.73","1541"
"25(1,A4)","Normoxia Control 2","1945.5","13485.26","26.52","1486"
"26(1,B4)","Normoxia Control 2","1855.87","12713.86","25.12","1364"
"27(1,C4)","Normoxia Control 3","1361.21","12045.01","42.27","1276"
"28(1,D4)","Normoxia Control 3","1478.01","11896.19","23.68","1119"
"29(1,E4)","Normoxia Control 3","1453.78","12298.66","26.78","1489"
"30(1,F4)","Normoxia DEP 1","1429.37","12407.68","74.37","1129"
"31(1,G4)","Normoxia DEP 1","1411.98","12816.1","30.26","1390"
"32(1,H4)","Normoxia DEP 1","1305.64","12172.25","25.73","1264"
"33(1,A5)","Normoxia DEP 2","1397.69","12652.7","27.12","1336"
"34(1,B5)","Normoxia DEP 2","1247.11","11794.12","28.52","1407"
"35(1,C5)","Normoxia DEP 2","1391.95","12569.86","25.76","1473"
"36(1,D5)","Normoxia DEP 3","1294.77","13256.49","26.01","1223"
"37(1,E5)","Normoxia DEP 3","1379.31","13034.98","88.73","1465"
"38(1,F5)","Normoxia DEP 3","1409.85","13349.88","66.46","1207"
"39(1,G5)","Normoxia Ox66 1","1789.3","16348.61","95.67","1355"
"40(1,H5)","Normoxia Ox66 1","1946.49","15994.85","27.67","1298"
"41(1,A6)","Normoxia Ox66 1","1825.98","16292.88","26.07","1575"
"42(1,B6)","Normoxia Ox66 2","1687.57","15214.74","24.51","1407"
"43(1,C6)","Normoxia Ox66 2","1515.2","13193.28","25.94","1413"
"44(1,D6)","Normoxia Ox66 2","1678.43","14290.18","26.29","1222"
"45(1,E6)","Normoxia Ox66 3","1872.65","16009.23","65.65","1259"
"46(1,F6)","Normoxia Ox66 3","1949.56","16845.84","28.27","1362"
"47(1,G6)","Normoxia Ox66 3","1707.12","16259.81","26.92","1579"
"48(1,H6)","Normoxia Mix 1","1448.84","15521.07","42.07","1347"
"49(1,A7)","Normoxia Mix 1","1440.69","15519.69","27.03","1367"
"50(1,B7)","Normoxia Mix 1","1514.9","16002.55","27.33","1204"
"51(1,C7)","Normoxia Mix 2","1235.1","13707","29.09","1363"
"52(1,D7)","Normoxia Mix 2","1432.77","13581.81","27.93","1010"
"53(1,E7)","Normoxia Mix 2","1182.56","13316.12","65.04","1331"
"54(1,F7)","Normoxia Mix 3","1409.91","14406.76","74.15","1115"
"55(1,G7)","Normoxia Mix 3","1455.49","15236.99","26.2","1243"
"56(1,H7)","Normoxia Mix 3","1431.36","15058.2","27.33","1543"
"57(1,A8)","Hypoxia Control 1","1261.97","10442.22","87.54","1333"
"58(1,B8)","Hypoxia Control 1","1178.2","9409.02","21.78","1484"
"59(1,C8)","Hypoxia Control 1","1049.53","9610.22","39.58","1266"
"60(1,D8)","Hypoxia Control 2","1103.46","9592.35","20.09","1238"
"61(1,E8)","Hypoxia Control 2","1212.75","9628.88","23.57","1195"
"62(1,F8)","Hypoxia Control 2","1163.76","9854","47.94","1238"
"63(1,G8)","Hypoxia Control 3","1102.05","9913.15","57.13","1459"
"64(1,H8)","Hypoxia Control 3","1011.52","9294.81","47.12","1479"
"65(1,A9)","Hypoxia Control 3","1066.57","9454.24","24.45","1383"
"66(1,B9)","Hypoxia DEP 1","940.89","9717.84","24.23","1337"
"67(1,C9)","Hypoxia DEP 1","812.48","9056.36","72.95","1437"
"68(1,D9)","Hypoxia DEP 1","839.85","9244.42","24.71","1414"
"69(1,E9)","Hypoxia DEP 2","1145.37","10232.93","24.62","1356"
"70(1,F9)","Hypoxia DEP 2","1191.47","9754.23","50.09","1364"
"71(1,G9)","Hypoxia DEP 2","898.5","10010.18","25.9","1574"
"72(1,H9)","Hypoxia DEP 3","751.44","9303.55","23.32","1350"
"73(1,A10)","Hypoxia DEP 3","750.43","9155.14","30.05","1615"
"74(1,B10)","Hypoxia DEP 3","777.4","9154.1","45.92","1405"
"75(1,C10)","Hypoxia Ox66 1","1011.46","11791.22","22.92","1321"
"76(1,D10)","Hypoxia Ox66 1","1253.12","11975.02","63.58","1030"
"77(1,E10)","Hypoxia Ox66 1","1215.65","12690.2","25.49","1417"
"78(1,F10)","Hypoxia Ox66 2","1016.05","11931.55","38.09","1319"
"79(1,G10)","Hypoxia Ox66 2","1094.53","12380.6","54.23","1421"
"80(1,H10)","Hypoxia Ox66 2","1038.1","11999.38","25.4","1338"
"81(1,A11)","Hypoxia Ox66 3","910.24","10943.11","25.44","1561"
"82(1,B11)","Hypoxia Ox66 3","976.94","10123.46","97.75","1414"
"83(1,C11)","Hypoxia Ox66 3","892.71","10403.9","23.18","1375"
"84(1,D11)","Hypoxia Mix 1","1108.8","11679.55","68.39","1325"
"85(1,E11)","Hypoxia Mix 1","1015.77","12198.57","22.97","1197"
"86(1,F11)","Hypoxia Mix 1","1050.56","11581.23","91.12","1245"
"87(1,G11)","Hypoxia Mix 2","726.15","10384.8","66.98","1431"
"88(1,H11)","Hypoxia Mix 2","698.29","9850.4","48.18","1641"
"89(1,A12)","Hypoxia Mix 2","775.73","10537.11","52.35","1509"
"90(1,B12)","Hypoxia Mix 3","624.15","8775.96","71.09","1320"
"91(1,C12)","Hypoxia Mix 3","599.41","8490.21","28.11","1314"
"92(1,D12)","Hypoxia Mix 3","621.51","8916.16","42.52","1537"
"93(1,E12)","DEP Interference ","18.35","50.77","20.34","1439"
"94(1,F12)","DEP Interference ","20.54","28.9","28.94","1408"
"95(1,G12)","Ox66 Interference","14.96","17.69","18.42","1390"
"96(1,H12)","Ox66 Interference","15.75","19.54","19.65","1647"

"DataType:","%CV"
"Location","Sample","IL-6","IL-8","TNFa","Total Events"
"1(1,A1)","Background0","34.85","84.34","74.14","1570"
"2(1,B1)","Background0","737.33","1192.66","556.8","1573"
"3(1,C1)","Standard 1","44.5","37.4","95.71","1577"
"4(1,D1)","Standard 1","34.47","35.78","45.84","1416"
"5(1,E1)","Standard2","47.23","36.38","74.27","1614"
"6(1,F1)","Standard2","39.52","45.96","93.71","1377"
"7(1,G1)","Standard3","55.22","41.18","39.67","1592"
"8(1,H1)","Standard3","51.88","57.57","129.02","1727"
"9(1,A2)","Standard4","42.93","77.28","68.31","1479"
"10(1,B2)","Standard4","44.62","41.63","39.68","1489"
"11(1,C2)","Standard5","33.27","21.52","33.16","1235"
"12(1,D2)","Standard5","34.97","21.06","25.51","1147"
"13(1,E2)","Standard6","24.82","23.96","29.17","1209"
"14(1,F2)","Standard6","22.77","29.32","28.27","1211"
"17(1,A3)","Control1","60.87","57.75","165.63","1503"
"18(1,B3)","Control1","49.54","73.39","45.37","1276"
"19(1,C3)","Control2","44.54","33.31","39.68","1390"
"20(1,D3)","Control2","41.09","44.52","52.81","1435"
"21(1,E3)","Normoxia Control 1","69.98","40.11","716.27","1471"
"22(1,F3)","Normoxia Control 1","51.99","24.63","1336.88","1214"
"23(1,G3)","Normoxia Control 1","51.1","41.19","122.4","1464"
"24(1,H3)","Normoxia Control 2","57.6","31.86","76.52","1541"
"25(1,A4)","Normoxia Control 2","189.82","30.41","90.9","1486"
"26(1,B4)","Normoxia Control 2","47.34","25.75","70.44","1364"
"27(1,C4)","Normoxia Control 3","57.46","41.39","921.33","1276"
"28(1,D4)","Normoxia Control 3","104.72","31.42","114.89","1119"
"29(1,E4)","Normoxia Control 3","43.31","31.14","87.79","1489"
"30(1,F4)","Normoxia DEP 1","97.27","29.49","1342.01","1129"
"31(1,G4)","Normoxia DEP 1","56.94","28.82","159.07","1390"
"32(1,H4)","Normoxia DEP 1","56.31","29.94","78.31","1264"
"33(1,A5)","Normoxia DEP 2","58.18","27.67","92.67","1336"
"34(1,B5)","Normoxia DEP 2","47.37","26.6","244.6","1407"
"35(1,C5)","Normoxia DEP 2","46.27","30.32","133.16","1473"
"36(1,D5)","Normoxia DEP 3","44.51","33.66","55.13","1223"
"37(1,E5)","Normoxia DEP 3","101.87","43.2","1614.35","1465"
"38(1,F5)","Normoxia DEP 3","66.3","55.74","1265.46","1207"
"39(1,G5)","Normoxia Ox66 1","51.08","40.97","1253.36","1355"
"40(1,H5)","Normoxia Ox66 1","57.53","28.71","147.43","1298"
"41(1,A6)","Normoxia Ox66 1","76.29","43.53","133.94","1575"
"42(1,B6)","Normoxia Ox66 2","43.65","43","57.28","1407"
"43(1,C6)","Normoxia Ox66 2","46.13","40.7","130.58","1413"
"44(1,D6)","Normoxia Ox66 2","48.32","33.01","150.69","1222"
"45(1,E6)","Normoxia Ox66 3","48.25","33.39","1307.59","1259"
"46(1,F6)","Normoxia Ox66 3","42.15","43.56","224.23","1362"
"47(1,G6)","Normoxia Ox66 3","50.62","33.55","159.03","1579"
"48(1,H6)","Normoxia Mix 1","46.65","29.82","707.83","1347"
"49(1,A7)","Normoxia Mix 1","43.62","39.4","102.92","1367"
"50(1,B7)","Normoxia Mix 1","47.46","27.31","69.64","1204"
"51(1,C7)","Normoxia Mix 2","116.39","53.45","200.2","1363"
"52(1,D7)","Normoxia Mix 2","78.16","28.02","174.06","1010"
"53(1,E7)","Normoxia Mix 2","41.45","30.72","1258.67","1331"
"54(1,F7)","Normoxia Mix 3","60.1","30.79","1217.59","1115"
"55(1,G7)","Normoxia Mix 3","44.42","26.21","120.41","1243"
"56(1,H7)","Normoxia Mix 3","47.68","30.63","111.92","1543"
"57(1,A8)","Hypoxia Control 1","67.94","26.55","1193.88","1333"
"58(1,B8)","Hypoxia Control 1","64.56","39.58","160.38","1484"
"59(1,C8)","Hypoxia Control 1","53.21","47.71","1069.77","1266"
"60(1,D8)","Hypoxia Control 2","71.67","67.73","79","1238"
"61(1,E8)","Hypoxia Control 2","135.47","24.5","71.6","1195"
"62(1,F8)","Hypoxia Control 2","44.76","29.68","1163.1","1238"
"63(1,G8)","Hypoxia Control 3","57.48","48.3","1015.03","1459"
"64(1,H8)","Hypoxia Control 3","49.88","57.66","1164.7","1479"
"65(1,A9)","Hypoxia Control 3","48.27","28.93","86.88","1383"
"66(1,B9)","Hypoxia DEP 1","72.79","22.9","91.21","1337"
"67(1,C9)","Hypoxia DEP 1","38.82","42.85","1083.37","1437"
"68(1,D9)","Hypoxia DEP 1","54.24","73.48","63.84","1414"
"69(1,E9)","Hypoxia DEP 2","274.45","35.72","91.06","1356"
